Mixture	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample1	0.28757336564097269	0.10186980526290361	0.10801699596587454	0.01872508795680209	0.01587929566301013	0.09307868404383701	0.15872038276450584	0.04844340170173054	0.15209640227477592	0.01559657872558741	0.00000000000000000	0.98915602064498953	0.36360446749752029
mirror_db_sample2	0.40604647503387536	0.14818377009443987	0.06700056740558526	0.00000000000000000	0.03368361519198094	0.09452895684969602	0.10104479600636387	0.00257279114167714	0.12880402531101143	0.01813500296537001	0.00000000000000000	0.99124905943745223	0.33663479826416648
mirror_db_sample3	0.35171567638449580	0.14243407364980565	0.12074737963284880	0.01799902548312543	0.02445306153468094	0.10116343405945709	0.07646288161447216	0.02746029806647803	0.09563993551634187	0.04192423405829403	0.00000000000000000	0.99332211178432328	0.31404351298493693
mirror_db_sample4	0.42294130219502518	0.16880427385099439	0.04826440859127962	0.02866103153188333	0.01336994680727661	0.09833373273612400	0.08359951685142236	0.01769743134949210	0.10164056836838582	0.01668778771811667	0.00000000000000000	0.98790904815931668	0.33116414826817553
mirror_db_sample5	0.30749969522848514	0.09967659838440715	0.11346699174851901	0.00000000000000000	0.02076000864248332	0.07493125711911049	0.18131681019982415	0.04301028428290451	0.12115216792282631	0.03818618647143984	0.00000000000000000	0.99437596739624190	0.36398747227311856
mirror_db_sample6	0.35755784869739088	0.11380672131390131	0.08794764580232545	0.01571335055958264	0.02679836119192822	0.10500834982485437	0.12766119570192866	0.02625107982959630	0.09920551187239773	0.04004993520609427	0.00000000000000000	0.99242139164750898	0.31860442593265431
mirror_db_sample7	0.35144842020613265	0.10118850494132245	0.09020191540621159	0.06240145643428077	0.02643809724646310	0.09401037279201911	0.12720273828425366	0.02144995467528837	0.08002070813680014	0.04563783187722848	0.00000000000000000	0.95964108074302112	0.39150437667848165
mirror_db_sample8	0.32927470896031880	0.14549990450305264	0.07378620845193415	0.00494475608741959	0.02242391607464382	0.09615858505405851	0.12947156458631737	0.02431588927332318	0.08673475113896437	0.08738971586996740	0.00000000000000000	0.99466221873684024	0.34503300880885918
mirror_db_sample9	0.41124507657475773	0.10166959543701767	0.07004848345644177	0.00612359588482455	0.01482409494431666	0.11115182880833087	0.07458290122886788	0.02408564012997192	0.14674831929655183	0.03952046423891918	0.00000000000000000	0.99406101999122742	0.29288357204051590
mirror_db_sample10	0.45593251269934171	0.10380551500952931	0.08517355714639592	0.02904777890538223	0.00903533811376554	0.11752397844908580	0.06139987070878415	0.00000000000000000	0.09466327714596848	0.04341817182174691	0.00000000000000000	0.99185902732177744	0.26286600297700347
