GeneSymbol	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
ADAP2	88.87461879695699452	878.68321428545402796	31.07597533851386373	323.36787000919844104	169.80327201154696581	0.00000000000000000	207.41573173358614213	142.44918842486481481	501.25369826106100390	49.34463475266845478
ADARB1	194.85825444218170333	127.98105235792256451	157.64239951053539812	223.09711636243244470	185.64277486022814401	60.04793332277504447	106.60138972295921178	164.34500889006693569	237.02054825957731055	296.78437652234146071
ADCY3	233.20157222346679760	680.28975004086441913	222.99735799715699613	354.03148148822020858	340.40573834053844848	347.07181948353263579	202.49561182798137793	238.41986715794155316	787.31448926603400196	670.06292239987453740
ADCY6	112.49801127216423424	292.89970689442964158	94.84579201627127532	172.15650269639212411	178.61351638626931049	81.60021082315256535	94.41788089215448565	100.92740221781075149	283.88351601656040657	203.43601632688745440
ADD3	1483.05746070204531861	877.20836482867605355	1828.67757414488619361	893.87799183063452801	1491.53862156881405099	2240.05537603844550176	1133.54135497777747332	1186.21535356318349841	472.87787131233000082	429.09367706823957178
ADGRE5	236.29120396931335790	421.66033497349843628	291.17169150833063895	554.98079676114309677	248.25237624385084700	160.69451551462776706	332.36509172279380664	257.05033374335459939	438.08562362122614786	406.73710378536719645
ADGRF5	204.92217255203723880	1093.42014557280458575	103.87725234691096432	367.17489109426151117	373.44112519959918473	47.94213753720588045	264.16837098526610816	212.77823576057539867	498.00247409548705946	1132.21871854265441470
ADGRL2	116.36994452364734798	308.32888317617346274	87.83563031561682521	121.70057833719826590	157.66471691446605519	49.18207609635171451	100.94532660542107294	70.71049996879288813	196.68054299789329775	188.29519192963957153
ADGRL3	23.46990567414457374	34.99621228989344957	20.64162227745044476	28.19373342820716388	49.38087830375370402	0.00000000000000000	23.48379967849789551	11.76797015138620495	154.35551965583451306	410.50022243381931730
ADH1B	606.22646965537160213	243.06966629494135645	525.97975502640770173	488.01263699613207336	713.94437558445235936	5280.11028027707288857	470.34156719195317464	1036.19205796751180060	265.65519068768071520	2552.63379972825168807
ADK	208.09422042741940118	248.76342314884448115	242.72501290649563543	177.26479142933519029	227.82285574835464104	208.54120087534360550	307.99848883918332376	184.61278061253634064	198.34842765869791492	209.13671535031230064
ADM	775.80585879591910725	429.89898988801587620	536.62721482451081556	653.40998753578298874	2010.21955167413079835	2153.31406826318425374	692.00408070296009555	3915.06553520172246863	522.32251917999565194	343.22541436229630563
ADPRHL2	269.72232550073147195	221.82985868747687164	251.68582311183260458	249.94425234390962487	219.12641629702096679	220.85585346839303611	351.97905944495568065	364.61270588184191865	227.76954777502223237	202.83488081050020924
ADRA2A	374.15095742526909817	388.49553792981868128	539.12338686264968146	365.61030907428312275	312.10236186739257391	167.45483152384616687	267.88694377529640178	228.02546052263971887	1119.35326083244513029	781.67070910807524342
AEBP2	206.31250572208188032	291.68636633075544751	183.63923617544512013	192.08531218445705235	333.20896295123765185	101.48186646402470501	165.10300196603080281	247.05762301492526944	378.50586946550356515	356.51850484837825661
AEN	149.84856376726779104	226.60120595909739905	146.41581390482255642	148.20719722940418706	235.39725004519002027	0.00000000000000000	242.67018617840162165	136.70977794743029676	188.27849848936739363	144.96260234961204105
AFAP1L2	121.71998541270893668	446.17373372171329038	141.85250035486376419	181.79387761401292778	147.66732041950180587	104.22507559958339129	150.41118156345001466	146.80912481359092681	274.11241498706829134	61.73645412458527204
AFF1	228.18044883612139984	280.00669018335258897	244.99694061672266798	272.11427466590851054	301.70174622064928371	241.21651621939173538	154.56107903553726146	209.79292313237013445	282.32515249295516924	329.99515009081272865
AFTPH	161.04682621771647177	243.56383042523214044	180.20652201658128888	214.46544588398927544	255.75965477988478369	149.96474104680427786	230.91708793824915347	244.22020285255680960	255.54937858700856168	199.70701480581149667
