Mixture	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample1	0.39030726049458914	0.10994226427462957	0.22711024321473117	0.07162053965023896	0.07413901100409673	0.12039501887765867	0.00648566248405598	0.00000000000000000	0.99602539507142973	0.40300552966900710
mirror_db_sample2	0.38953665880081811	0.08709573024750358	0.24123557672678811	0.12177028005918508	0.00000000000000000	0.12921695892972038	0.03114479523598472	0.00000000000000000	0.99701291668846515	0.37076974352109199
mirror_db_sample3	0.37364808667322913	0.08198695337830454	0.16826046058883856	0.12734105188051953	0.07047000905018540	0.16631698913303383	0.01197644929588908	0.00000000000000000	0.99715430969287988	0.39533912928115245
mirror_db_sample4	0.34586165936874952	0.12273655645708102	0.26869254089596839	0.10015368636747642	0.02762482142140889	0.13493073548931550	0.00000000000000000	0.00000000000000000	0.99590167425064446	0.37478592734253202
mirror_db_sample5	0.39569926778728937	0.08276587864554145	0.26110570305320607	0.06874534931029075	0.10791516099446655	0.08376864020920569	0.00000000000000000	0.00000000000000000	0.99742518689543103	0.39487223332681337
mirror_db_sample6	0.33211000910613125	0.11697352930629841	0.33693378449503936	0.00000000000000000	0.08944091231461541	0.11660448904872586	0.00793727572918959	0.00000000000000000	0.99554778154995016	0.38766386406207243
mirror_db_sample7	0.38515012967251394	0.12957517122173878	0.22083254213166498	0.06549099649241780	0.04332145321516252	0.14363594494080106	0.01199376232570079	0.00000000000000000	0.99675112116542908	0.40140110201207096
mirror_db_sample8	0.38894059313349827	0.06694292853867548	0.29146954582776752	0.06641198130461171	0.04345625222974418	0.11972931234708370	0.02304938661861910	0.00000000000000000	0.99754210915323605	0.37058267201243716
mirror_db_sample9	0.45166237338852755	0.12006213029772043	0.15192138014711606	0.10276277956971661	0.05119884354009607	0.10458645041881050	0.01780604263801273	0.00000000000000000	0.99667096812417333	0.41682520158701297
mirror_db_sample10	0.40308809053592032	0.15246447012677589	0.12228733116631511	0.07975446980272125	0.00000000000000000	0.16982275792169210	0.07258288044657547	0.00000000000000000	0.99760927603086569	0.42325527923763273
mirror_db_sample11	0.35078489517607325	0.09882841858626390	0.30471798309988718	0.05480428501964584	0.08826573879489835	0.10259867932323138	0.00000000000000000	0.00000000000000000	0.99541805642972159	0.38509258204586072
mirror_db_sample12	0.38928048329915216	0.13114810066211324	0.17423545240842345	0.07575294015350986	0.07517280529776993	0.15441021817903139	0.00000000000000000	0.00000000000000000	0.99635814428333203	0.41527341442535254
mirror_db_sample13	0.32657039897815227	0.13983323850361501	0.30510280326784861	0.02486078500078412	0.07175677604534191	0.11607981338165044	0.01579618482260763	0.00000000000000000	0.99668838521058190	0.39649419619132270
mirror_db_sample14	0.34826846012335178	0.07848596403702907	0.22285582633356399	0.07410897633585906	0.12729675629568898	0.13019130598608103	0.01879271088842618	0.00000000000000000	0.99623280973685091	0.41012196503096082
mirror_db_sample15	0.35991256628597806	0.17853845820190914	0.15130808028776091	0.10095106237901919	0.05204696361053057	0.15724286923480219	0.00000000000000000	0.00000000000000000	0.99637138734338415	0.42210155144992273
mirror_db_sample16	0.33058796646217437	0.06900533096820763	0.26834073401919595	0.09061160889593996	0.12876298347886225	0.11269137617561989	0.00000000000000000	0.00000000000000000	0.99259619517875552	0.39428400421274939
mirror_db_sample17	0.26826873671139539	0.20955009006879186	0.14861512658349951	0.04482785463699328	0.08846324403253425	0.13881110303511610	0.10146384493166952	0.00000000000000000	0.99498771216145576	0.45571897611485890
mirror_db_sample18	0.40447770791312954	0.09693694120801900	0.22453896083807415	0.12102406315083193	0.04533370723634135	0.10260402157997833	0.00508459807362574	0.00000000000000000	0.99604577111762105	0.38565745185632222
mirror_db_sample19	0.38108658275567814	0.10405484823354635	0.19429045943917966	0.09183316020046361	0.08028746172758522	0.14844748764354707	0.00000000000000000	0.00000000000000000	0.99629632384401801	0.40238309203230177
mirror_db_sample20	0.41013037395910551	0.11662366349595434	0.26804874946993851	0.06878766246871076	0.00769752515263011	0.12479968754040573	0.00391233791325498	0.00000000000000000	0.99739589790634553	0.37477785585187423
mirror_db_sample21	0.37651309246755826	0.06746463017306349	0.17544611704728416	0.14354866846544115	0.06042840603302062	0.15646669739855401	0.02013238841507831	0.00000000000000000	0.99531606243601600	0.39011742387102510
mirror_db_sample22	0.39029565927410154	0.14613084695499209	0.19959774263877705	0.10195852859096941	0.03193460092194776	0.13008262161921214	0.00000000000000000	0.00000000000000000	0.99607203123604948	0.40035423677672338
mirror_db_sample23	0.40611685198845782	0.16072735389073073	0.19129950723223080	0.02557512795622151	0.10623121323884996	0.10954531006219585	0.00050463563131332	0.00000000000000000	0.99667096562837876	0.43806654016934388
mirror_db_sample24	0.38466521731006581	0.11312609187238112	0.23720642779648407	0.05385859853976546	0.03757652647060632	0.11721086838124695	0.05635626962945022	0.00000000000000000	0.99730168079792814	0.40333772124302114
mirror_db_sample25	0.31696680166572067	0.11225123496479747	0.22694894775727534	0.06749526026770337	0.10103091514365553	0.15151063512595678	0.02379620507489076	0.00000000000000000	0.99520272804424992	0.41241430396204787
mirror_db_sample26	0.37668423507290499	0.09881227908460140	0.26393852120322381	0.02925114737158994	0.13723291665954207	0.09069868081778064	0.00338221979035710	0.00000000000000000	0.99589179968905117	0.41388405822764979
mirror_db_sample27	0.39385522821775210	0.09194918404074359	0.25051140589144671	0.07029591839400026	0.02861609768727551	0.14068998455273746	0.02408218121604420	0.00000000000000000	0.99693667753199255	0.38302836640345034
mirror_db_sample28	0.32742151611675668	0.11452102661740450	0.23231287010797771	0.04550116238524700	0.15469138592748888	0.12430028950988045	0.00125174933524473	0.00000000000000000	0.99321635975561418	0.42654331884795188
mirror_db_sample29	0.37185570633861026	0.08362897682322387	0.12162623837079496	0.18036461300484144	0.07124128985180088	0.17128317561072853	0.00000000000000000	0.00000000000000000	0.99577120639837058	0.39303990362336361
mirror_db_sample30	0.40138942188138393	0.10184961138720670	0.20347708939295758	0.09076009697520634	0.02184853237419996	0.13722358895537717	0.04345165903366840	0.00000000000000000	0.99736673827800226	0.39616949933124401
mirror_db_sample31	0.37778273194372930	0.14966648693748524	0.22554137206748773	0.06879707537094332	0.05388894258816380	0.12245209196070796	0.00187129913148258	0.00000000000000000	0.99644222110425862	0.40634760731200220
mirror_db_sample32	0.37588311259249413	0.10841817835402036	0.19237076088447558	0.10813158068448879	0.07629716784469079	0.09780126876741500	0.04109793087241533	0.00000000000000000	0.99677794622210847	0.41314140428719254
mirror_db_sample33	0.39490818171519726	0.10443380366768122	0.24578014770348344	0.08888497016212771	0.07632846350382318	0.08966443324768700	0.00000000000000000	0.00000000000000000	0.99698169596937525	0.39342865800062710
mirror_db_sample34	0.33769536506099307	0.06404289611424893	0.21171950132192116	0.09038429721439142	0.14149557873251783	0.13594617977904341	0.01871618177688425	0.00000000000000000	0.99648430724740134	0.40861048078242396
mirror_db_sample35	0.37180856049652494	0.11427840573206270	0.24755418337673935	0.03288112133930896	0.10346353547628920	0.12208583521942540	0.00792835835964943	0.00000000000000000	0.99476611375173019	0.41335809384642136
mirror_db_sample36	0.37784271995445667	0.14445318257068954	0.24256527252493318	0.06814090884925135	0.06227169024350484	0.08025096936312093	0.02447525649404354	0.00000000000000000	0.99775064078924558	0.41152279595307961
mirror_db_sample37	0.35735820993412321	0.10682455446716371	0.28928097110393547	0.07624869944819382	0.03639063879687734	0.13389692624970659	0.00000000000000000	0.00000000000000000	0.99605034122809732	0.37118779521595263
mirror_db_sample38	0.40435780469855415	0.11322366219106531	0.22759950078695709	0.06340991447141794	0.04589275244588997	0.14551636540611557	0.00000000000000000	0.00000000000000000	0.99641609178158064	0.39269871499705439
mirror_db_sample39	0.34614269278457621	0.08012369631142754	0.30432506388550834	0.07841622781007734	0.05515476678156815	0.10797856710701055	0.02785898531983184	0.00000000000000000	0.99695777668716523	0.37389276212727940
