GeneSymbol	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF
A4GALT	491.92294086345981441	286.06982926207530227	399.57202207140124983	196.60417642413301564	132.56021459149923203	327.31680263592562596	0.00000000000000000
AAMDC	402.53952666652924108	516.66040910086223903	467.47865068897385754	525.80072054086861044	145.17510731790488876	299.38140426927475346	753.23705632051894554
AARSD1	323.13590600829104460	281.42921216602275081	185.19488942291707190	160.76278627472200355	49.30130095530235224	459.29680511389062758	0.00000000000000000
AASS	224.78166865268940455	282.66732846206025442	190.54854603541559754	89.71725238507038114	126.57785577688393630	412.32995346194945796	206.15666490421924095
AATF	201.99735961803290252	161.00834539329946438	212.72189859074256901	250.84439442970537471	727.23522015052947154	0.00000000000000000	441.45509504998329930
ABCA1	251.67001248444654493	79.62717716460912243	310.64518002907590244	27.59071165813494630	304.12033966561239140	380.24191254598696332	0.00000000000000000
ABCA6	525.75346970404132207	94.92505093898471102	374.06171132816882618	60.01647535530106126	45.06326509489646526	415.53912003196165870	157.33910823495037334
ABCA8	156.83463494718824904	28.47340284356168283	304.99350179946742401	40.41383957551875739	28.49776388760850310	499.01710103366167459	0.00000000000000000
ABCC9	120.96761601467530056	686.41448494834503435	184.67999562695320037	188.42251848720661656	117.98605225744826441	137.50582367312014753	62.88088769502640929
ABCE1	293.14943090333071041	329.39763557917092385	481.72013132434437921	143.47659902843983559	178.08035209751415096	455.41702267374699886	8.08271925683156667
ABCF1	393.59805876139199654	347.95710478837526125	376.71216983403559198	411.44177773243586671	381.20146259379657749	459.97264401260207478	58.79831535636138540
ABCG1	29.77192415410635817	40.97880466280113865	30.73787128806704061	0.00000000000000000	62.77787263509610938	26.51946604630217763	169.41815852158325129
ABHD14A	208.42206766454276590	137.10841571014879037	204.94688572062705134	163.96441187629773140	150.65330478061054009	325.31360514574657827	47.26692314186175281
ABHD16A	282.07020714420769991	365.14823656937380747	143.79939524567691933	89.54465061379649171	115.27215464024205005	245.38916706011474389	511.65365643878027413
ABHD2	349.45741838501584198	127.10731250383319946	285.68449139330249409	92.75793164284978332	268.48725639320878145	292.53681513697210903	237.40274666816119975
ABHD3	82.72754831601218939	117.30480193029191582	60.51122884689318226	52.79453049643332463	159.51001573714231085	87.84670839398138753	0.00000000000000000
ABHD5	202.44474225212405827	206.56598111389146766	227.25739932342889915	156.22751991024378526	410.07635074908756678	291.45165365490584009	16.63480377622772011
ABHD8	47.30647552045510906	20.18407699701528912	40.90321745393662667	72.40190638064841266	39.74963351906156106	101.63048156748774886	74.11878364993479806
ABI1	218.88578263910272881	193.14727153143803662	269.08831035452811875	296.46595136016497918	312.94999308773520852	112.23497407428517647	688.80868414722647231
ABI2	343.09566596646283188	622.42559908983571404	298.56056138843445069	445.61977205495242060	74.14440646874533059	243.36256714480333585	428.91623562353225907
ABI3	40.39742800474849815	52.78608068411870136	88.34517325969261492	70.71714353891516680	487.83777613669627726	0.00000000000000000	343.92797486659321748
ABI3BP	215.01770261892943381	33.81722790779533483	242.02676279934144077	116.48786457652930437	128.24109234233574739	787.35645936100183917	414.78864063933070838
