GeneSymbol	iCAF	iCAF.1	iCAF.2	iCAF.3	iCAF.4	mCAF	mCAF.1	mCAF.2	mCAF.3	mCAF.4	hsp_tpCAF	hsp_tpCAF.1	hsp_tpCAF.2	hsp_tpCAF.3	hsp_tpCAF.4	IDO_CAF	IDO_CAF.1	IDO_CAF.2	IDO_CAF.3	IDO_CAF.4	apCAF	apCAF.1	apCAF.2	apCAF.3	apCAF.4	dCAF	dCAF.1	dCAF.2	dCAF.3	dCAF.4	Pericyte	Pericyte.1	Pericyte.2	Pericyte.3	Pericyte.4	tpCAF	tpCAF.1	tpCAF.2	tpCAF.3	tpCAF.4	vCAF	vCAF.1	vCAF.2	vCAF.3	vCAF.4	rCAF	rCAF.1	rCAF.2	rCAF.3	rCAF.4
SAMD11	32.73168730570725415	33.35631992214568697	31.63100948544212088	31.55189661140142121	31.14425409199385797	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
NOC2L	30.61647580972365645	33.12724039549329547	31.96170302172723154	31.56870890582056433	30.73955425409646480	29.97992333957090949	30.86124539018013024	29.11388821060939947	30.97941766304854383	30.73487370570172317	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	26.48212043669346372	27.90108131950598391	27.65862271997582766	32.51816554656191016	32.17265670713369730	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	33.45648512252878248	34.27586345791774392	32.29630929190999922	35.71945007965424423	33.67007562620059957	32.52666527424081266	31.59507892376330673	34.69404269088177273	34.17511121321800260	33.08174022482739218	39.45713067819215070	44.33892674194753170	41.85952518056359395	41.69438112818312447	39.22099461058103742	38.91626065255818645	39.33105930698236818	38.29684553806146852	38.24894694107860005	33.59503402390421911	36.57236442551147348	32.43802028012109417	34.04066646942150953	22.93425314507362600	33.60601420152588759
KLHL17	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
PLEKHN1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
PERM1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
HES4	92.46675624222071121	90.40973417445786708	110.73682951582600253	98.49774521325748822	99.23566032151502725	267.92074481341393266	259.19133170854553327	278.35000227564370334	271.55530414857344113	279.31941517692092702	491.66168160972495116	577.09011109864479749	519.28683548637923195	496.44887030499336333	501.61987398693440809	362.83667193766478931	366.34006757400385368	370.25928879791047166	379.09838713190993076	358.52435334612999895	316.96081602502863461	318.20449317543830148	327.12091224189987315	316.75104948168069541	323.91651487695429523	281.34010274680690600	278.15949747709868234	276.05315326837609291	262.21568066194890889	242.35254398471749937	639.90508922021263061	609.36954925116947379	617.29363263955531238	623.95308833125898218	608.33095012739408958	145.55576100427072106	143.91688159707027239	149.89003566398551470	135.08070832410078310	148.22517809599736438	605.66285274944561934	599.38481184224656317	615.13758747210567890	601.24602882505928392	567.57730079180237226	275.07804453166255598	285.52449132934748377	288.53255867699579085	324.40757013474581072	274.55082012794184720
ISG15	332.86789726212288087	305.17642353073478034	333.31134543148209559	341.91785014811529209	324.72634892578497556	763.95978275103379929	805.81430333864761906	812.20301256354366615	817.53113348503211455	850.43199271983542076	933.42003906749869202	1028.29645444377842978	783.01197539185159258	1018.61538281902790004	917.16649868095782949	2838.94323813611572405	2771.91607395275968884	2804.03555824883915193	2800.16801165360675441	2634.65765965777018209	910.57472649613578142	892.12619478559872732	1047.89673357257879616	1144.28466153498516178	999.35440721817099075	551.51598971897760748	869.66038937432097100	670.04264811444056704	554.82630187795666643	779.37978851452203344	2077.46062044097698163	2184.20119789258478704	2049.33777624946787910	1894.60985592454744619	2014.29257206690908788	593.43448695155802852	551.03524324145621449	491.53481228983844176	651.20729348230031519	526.17654485782293250	860.47030858293101119	861.58293802747937207	880.27408623956239353	854.49844283062373052	856.26237756514717603	491.66549080209330214	431.83330585077339947	489.80009559970869759	502.21292595363536293	586.30999504006967982
AGRN	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	24.81010358613221811	23.60319604240281066	28.35664553489395345	29.21757872592435490	25.24182039546177947	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	28.03688227245493181	44.89263381934679842	33.46681501949034043	35.47923849506148741	36.25302307211583042	118.88228424185932397	120.46870651719369505	121.17951261696698850	123.41084092859685484	121.55068158927781496	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	39.04844445815000853	37.58811349105878463	36.95606594923484067	36.04857382870326177	33.99898449892264551	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
RNF223	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
C1orf159	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
