NAME	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
AADAC	59.36192742646926490	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AAGAB	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	22.05702082953344956	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AARS	1.00000000000000000	25.83378744588576836	1.00000000000000000	21.73511186913607673	1.00000000000000000	20.98128459594114759	30.10226781356628578	55.76306250135686327	1.00000000000000000	1.00000000000000000
AASDHPPT	1.00000000000000000	1.00000000000000000	1.00000000000000000	20.69302563623876878	1.00000000000000000	27.01814385710266464	33.11016152435982463	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCA1	61.09207319637557276	52.18496664479317104	148.00787684808346967	59.74372980446104009	1.00000000000000000	25.39339081390860997	1.00000000000000000	63.78737844232032472	1.00000000000000000	50.73342140026853997
ABCA10	88.17719618434786355	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCA6	156.82044432730722860	40.73348935563031858	98.94951950734299828	59.52053296067010990	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCA8	244.09892520993881249	1.00000000000000000	1.00000000000000000	43.06188293145537216	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	75.86771253504083745
ABCA9	99.74092169472278613	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCC9	33.39852139031636113	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	205.04308299549998651	1.00000000000000000	85.04086640566507072	295.73417081795497552
ABCD4	32.18610441620853635	29.70788844436197351	1.00000000000000000	27.49235756299580657	1.00000000000000000	18.78206143785178739	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCF2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	34.86286272337952141	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABHD12	27.12120528046287404	1.00000000000000000	1.00000000000000000	19.44854642831146307	1.00000000000000000	28.65634136320770153	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABHD14A	50.57551779491731736	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABHD5	49.07395418592687975	1.00000000000000000	1.00000000000000000	29.94077728241112268	1.00000000000000000	15.89363912069710594	36.40175245990097608	1.00000000000000000	44.75310053051006065	46.22927896523285085
ABI3BP	294.94365748787629400	85.08256856580486271	84.94473933856042436	307.60904231312412094	1.00000000000000000	75.03673938747287764	1.00000000000000000	1.00000000000000000	1.00000000000000000	56.02044987282472732
ABL2	159.33129796523365940	125.92041505885975994	496.58518349283616544	170.32516594015015698	129.50719814094173898	167.29662195502305622	127.38880019984891590	138.28873184314676337	74.10931635370619119	76.88479290713615910
ABLIM1	72.77941069790198014	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABR	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	37.37533355251728295	1.00000000000000000
ABRACL	28.93324429328980330	59.58866976075102428	1.00000000000000000	73.78666628527415128	70.34877304872649972	69.27237548956065893	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABRAXAS1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	44.10920487558696834
ABTB1	32.00916058289005406	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	68.48773009237247322	1.00000000000000000	110.05966964636586169	89.09693369369330185
AC027290.2	1.00000000000000000	39.64435375828099239	203.46902645085936001	43.58884137753989307	111.09269127980795133	33.46928955689173080	45.72811475012254334	1.00000000000000000	51.82366734014262022	1.00000000000000000
AC068491.4	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	20.68753312772582831	44.59188090427896611	1.00000000000000000	1.00000000000000000	1.00000000000000000
AC093155.3	32.70637987275679137	1.00000000000000000	1.00000000000000000	28.45850780703449345	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	49.28392552702833029
AC093908.1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	47.44182226227500365	1.00000000000000000	1.00000000000000000	1.00000000000000000
AC134043.2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	42.63511035024694706	1.00000000000000000	34.09780823429295538	1.00000000000000000
ACAA2	69.74663779084561099	59.20013226376720183	1.00000000000000000	62.19850262728981960	1.00000000000000000	77.70220676035660290	34.96303004682297200	76.40210849929061965	1.00000000000000000	1.00000000000000000
ACAN	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	47.03921194488889768	1.00000000000000000	70.82425936106564279	1.00000000000000000
ACAP3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	30.63746194456180305	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACAT2	1.00000000000000000	1.00000000000000000	1.00000000000000000	26.50741810267135534	1.00000000000000000	48.95652234945584524	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACD	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	41.95431541931031205	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACHE	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	33.65782898292154357
ACO1	46.45538166748412578	32.93224041279241021	1.00000000000000000	42.01773535565786943	1.00000000000000000	28.67986903267532028	1.00000000000000000	1.00000000000000000	1.00000000000000000	40.99209468741442208
ACOT13	31.76747928741322013	36.71140700936165047	1.00000000000000000	31.31930598492080620	1.00000000000000000	24.59945827138043839	33.34634550717089496	35.94134631414583225	1.00000000000000000	1.00000000000000000
ACOT7	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	90.65725430116488326	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACP2	1.00000000000000000	25.88702982127528429	1.00000000000000000	28.50940227234710989	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACTG2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	306.04572119250468631	173.61962443716660687
ACVR1	37.71490156292504992	36.97725361676650380	1.00000000000000000	33.39922640249982067	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ACYP1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	42.33325542879180148	35.62528921124611969	1.00000000000000000	36.38783929814641738	1.00000000000000000
ADA	1.00000000000000000	1.00000000000000000	1.00000000000000000	22.46550546059784281	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	41.18740846573208358
ADAM12	71.46523506869785081	201.70552744347730822	151.78496360051505576	167.38411480509506646	68.39768166366840774	134.66080260350750564	37.23069591472332007	102.22186999883776082	1.00000000000000000	1.00000000000000000
ADAM15	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	27.97446897915655839	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ADAM17	46.72027545920405345	50.40406459992301080	175.31939391614531587	56.62422195761763533	1.00000000000000000	24.65506848239552440	46.59393863649836476	53.66266402185333106	36.13353593703998712	42.34597163478611037
ADAM33	57.63431358433322771	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ADAMTS1	127.20940721223527703	58.88252943496689795	500.76211110130782345	72.94410821229746489	223.92994611254601978	137.70790936172571151	573.50692846538345293	1.00000000000000000	960.96137601099019321	561.85482770647092821
