genesymbols	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
A1BG	1.00000000000000000	53.41311778885554418	1.00000000000000000	34.43087276929766460	1.00000000000000000	46.97266006225959956	46.50341021241681005	55.66218863819150897	50.49667107144451705	39.65299977132612952
A2M	100.52260953267142440	171.89897775845597039	354.87147287471611889	134.16716552467568135	402.77217773279846824	172.58780249330362722	1005.18277674753369411	118.25073529602717315	984.05379243472418693	607.07869835881592735
A2ML1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
A4GALT	52.80280840361374572	48.15632973763295155	1.00000000000000000	75.13118473554305865	1.00000000000000000	31.17564924138753923	44.80588262443461645	1.00000000000000000	64.63690712256121174	66.31260000114127706
AAAS	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	21.56434998674226122	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AACS	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AADAC	59.36192742646926490	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AADACL2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AADAT	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AAED1	48.76943064761756119	48.34286250190125145	1.00000000000000000	51.92316239138030909	59.34839455878064030	58.02565094112210176	84.44883334245102446	57.41164629098076944	90.79093827200364331	82.89521297027773983
AAGAB	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	22.05702082953344956	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AAK1	42.14225386346122093	58.53551179979152863	122.40426306901025555	50.44790521425030505	55.78702386359223198	71.35996842101948801	84.82231351896102467	41.28269385408457737	63.22955590204055909	50.43702032560464943
AAMDC	49.66631742338197597	58.77201540761853948	1.00000000000000000	51.46688403657960009	49.19880189814629290	82.77441234302450823	59.91945428059642609	55.86434038267691449	62.08841852997608157	52.79003516823354403
