Method,Dataset,Global_Correlation,Global_RMSE
DWLS,Breast,0.92337563840421,0.0487961678913387
DWLS,Lung,0.956322378965719,0.0384908363883241
InstaPrism,Breast,0.792580587578971,0.059579018732606
InstaPrism,Lung,0.84752338401617,0.0818560032122895
CIBERSORTx,Breast,0.606408199760079,0.0833907984625203
CIBERSORTx,Lung,0.539531028705571,0.109162507920922
