NAME	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF
A4GALT	55.12649587551069175	91.98832544305479075	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AAMDC	69.56549356073718116	64.44936259866024386	1.00000000000000000	104.23790118482457956	92.76591358052148450	1.00000000000000000	109.60463683836344728
AARSD1	70.00465661454357758	41.08116970726531747	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AASS	115.42426426182608168	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AATF	1.00000000000000000	1.00000000000000000	1.00000000000000000	89.36829285590614802	1.00000000000000000	196.30216177919609777	1.00000000000000000
ABCA1	47.43131246780917110	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	48.00263291086385919	1.00000000000000000
ABCA6	82.30557832101807492	85.44374830042431768	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCA8	86.47388840711178659	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABCC9	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	186.54207192273074156	1.00000000000000000	1.00000000000000000
ABCE1	52.78708104988546523	40.66789230528127064	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	43.21891770631494722
ABCF1	79.10133839132144828	59.02424404767032229	1.00000000000000000	94.30203543553577106	54.95391435703226790	91.10839882263680067	1.00000000000000000
ABCG1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	40.91644009028756557
ABHD14A	42.50019667421316427	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ABHD16A	1.00000000000000000	41.77335144085080998	1.00000000000000000	1.00000000000000000	62.72752607475619158	1.00000000000000000	185.33467539687592307
ABHD2	1.00000000000000000	61.66017378602929710	1.00000000000000000	1.00000000000000000	1.00000000000000000	29.78646288023879052	22.85073345242518883
ABHD3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	42.01836321149495745	1.00000000000000000
ABHD5	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	105.13201793783458982	22.30439209133841061
ABHD8	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	43.21891770631494722
ABI1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	38.96713078006993669	103.14262493866672799
ABI2	64.08445955733017740	46.92181572728110694	1.00000000000000000	105.09033266533730000	123.15788163256760868	1.00000000000000000	1.00000000000000000
ABI3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	187.08310319109480702	115.01807115086310773
ABI3BP	138.97204772976147069	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	90.97032769216299641
ABL2	87.19302631634397471	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	59.13574606112703691	80.83288018057514535
ABLIM1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	19.63430914620041179
ABRACL	1.00000000000000000	92.82109817843071653	1.00000000000000000	1.00000000000000000	1.00000000000000000	165.76142528078617033	1.00000000000000000
ABT1	1.00000000000000000	44.46036400981648740	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	19.63430914620041179
AC004951.1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	54.40889677705564509	1.00000000000000000
AC005670.3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	22.85073345242518883
AC010642.2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	40.47012157486717143	1.00000000000000000	43.21891770631494722
AC020656.1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	129.11693987725118404	1.00000000000000000
AC020916.1	167.26652189016553507	91.37201548168150111	1.00000000000000000	1.00000000000000000	1.00000000000000000	128.27278509569927678	1.00000000000000000
AC060780.1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	59.21338157315307171	1.00000000000000000
AC068491.3	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	58.15742538201718048	1.00000000000000000	1.00000000000000000
AC100793.2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	90.13541103061460547	1.00000000000000000	1.00000000000000000
AC100810.1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	175.91716709793524842	22.10945885315748427
AC105114.2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	43.21891770631494722
ACAA2	47.21361977382392894	57.31517507065787953	1.00000000000000000	1.00000000000000000	1.00000000000000000	369.45368088879490642	1.00000000000000000
ACIN1	45.90700346867554060	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	36.51067004625174661	1.00000000000000000
ACLY	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	68.30997466964541331	180.94065538432568019
ACO2	1.00000000000000000	1.00000000000000000	1.00000000000000000	123.52342151179469454	51.39119637227710768	1.00000000000000000	62.22083218162599394
ACOT9	1.00000000000000000	49.67091447832050477	1.00000000000000000	1.00000000000000000	1.00000000000000000	51.13974665365876859	1.00000000000000000
ACP5	68.28464988847653672	88.98963875381259925	1.00000000000000000	1.00000000000000000	1.00000000000000000	181.77923924017949275	1.00000000000000000
ACSL5	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	19.63430914620041179
ACTA2	649.47900895301313540	2376.67433673263212768	1663.93695415749834865	18436.57081928079787758	2373.13117918559601094	2748.53711032266028269	1.00000000000000000
ACTG2	1.00000000000000000	1.00000000000000000	1.00000000000000000	2542.51070590541803540	1.00000000000000000	225.19689741819189521	1.00000000000000000
ACTN4	59.55469090881475580	70.15994921533081197	1.00000000000000000	418.20699654404842249	127.96779369719220654	93.16719042458190359	38.26861829240073121
ACTR1A	49.87804608654880667	62.77183439139142251	1.00000000000000000	1.00000000000000000	97.71575229915723071	27.80804913982598947	1.00000000000000000
ACTR6	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	43.21891770631494722
ADA2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	57.54359321886409617	1.00000000000000000
ADAM10	1.00000000000000000	47.80179237836691186	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	85.43783541262989445
ADAM15	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	90.97032769216282588
ADAM17	101.98915832266978043	65.21195303440572388	1.00000000000000000	1.00000000000000000	1.00000000000000000	51.99456380521608168	1.00000000000000000
ADAM19	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	120.78694915300694390
ADAM9	124.32617593373588250	57.54184076923748137	1.00000000000000000	131.04786041502853777	101.22734029100604403	1.00000000000000000	1.00000000000000000
ADAMTS1	97.30246750136630851	1.00000000000000000	1.00000000000000000	415.97777225980433968	147.92635960612847157	1.00000000000000000	1.00000000000000000
ADAMTS12	1.00000000000000000	96.21283754354919893	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ADAMTS2	1.00000000000000000	94.28378747020387607	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ADAMTS4	1.00000000000000000	1.00000000000000000	1.00000000000000000	110.30195657315506708	208.62255956731462447	38.66030896828234376	64.91317627401528512
ADAMTS9	1.00000000000000000	1.00000000000000000	1.00000000000000000	66.83732817430721695	122.36965131874249835	1.00000000000000000	115.01807115086310773
ADAP2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	134.85902410569994458	1.00000000000000000	1.00000000000000000
ADCY3	1.00000000000000000	1.00000000000000000	1.00000000000000000	137.00147619493961315	104.87959802545184118	1.00000000000000000	1.00000000000000000
ADCY4	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	56.59769579701951159	1.00000000000000000	80.83288018057514535
ADD1	63.74142783012626978	78.52394525308484674	1.00000000000000000	150.66305517238143352	95.18798244850239598	33.73977516505730989	90.97032769216282588
ADGRA2	1.00000000000000000	1.00000000000000000	1.00000000000000000	79.22849820396476161	95.35054364886858025	1.00000000000000000	1.00000000000000000
ADGRE5	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	44.39839951450561983	1.00000000000000000
ADGRF5	1.00000000000000000	1.00000000000000000	1.00000000000000000	155.46780577124505385	232.49608020375271167	1.00000000000000000	93.16733769843793311
ADGRL4	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	128.23894598456351446
ADH1B	537.17638648636454946	1.00000000000000000	336.71935412560407030	1.00000000000000000	1.00000000000000000	1.00000000000000000	360.88131076865101932
ADIPOR1	1.00000000000000000	50.97606234331770736	1.00000000000000000	1.00000000000000000	1.00000000000000000	71.80369316723988504	1.00000000000000000
ADIRF	221.14117218011142540	1.00000000000000000	239.94327797220176990	1956.57971324018512860	442.85736272201268093	1.00000000000000000	1650.53929662968266712
ADM	116.26170682535615697	325.53290017482521534	320.78580253822599389	1.00000000000000000	1.00000000000000000	204.30081069582735154	59.52848808923673829
ADPGK	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	101.50172928751941015	1.00000000000000000
ADPRHL2	1.00000000000000000	46.99873010663458217	1.00000000000000000	1.00000000000000000	1.00000000000000000	49.00473835168310188	1.00000000000000000
ADSL	1.00000000000000000	43.87495195596888919	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
ADSS	1.00000000000000000	66.12260278275061864	1.00000000000000000	1.00000000000000000	1.00000000000000000	59.21038201434200943	22.30439209133841061
